Institute Name,Branch Name,Category,Gender,Closing Rank,Tuition Fee,Affiliated To
BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,BOYS,62241,72000,JNTUH
BRILLIANT INSTT OF ENGG AND TECHNOLOGY,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,OC,BOYS,94948,68000,JNTUH
BRILLIANT INSTT OF ENGG AND TECHNOLOGY,CIVIL ENGINEERING,OC,BOYS,86027,68000,JNTUH
BRILLIANT INSTT OF ENGG AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),OC,BOYS,93673,68000,JNTUH
BRILLIANT INSTT OF ENGG AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),OC,BOYS,142450,68000,JNTUH
BRILLIANT INSTT OF ENGG AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,78176,68000,JNTUH
BRILLIANT INSTT OF ENGG AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,129703,68000,JNTUH
BRILLIANT INSTT OF ENGG AND TECHNOLOGY,COMPUTER ENGINEERING(SOFTWARE ENGINEERING),OC,BOYS,96221,68000,JNTUH
BRILLIANT INSTT OF ENGG AND TECHNOLOGY,ELECTRONICS AND COMMUNICATION  ENGINEERING,OC,BOYS,156840,68000,JNTUH
BRILLIANT INSTT OF ENGG AND TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,BOYS,156840,68000,JNTUH
BRILLIANT INSTT OF ENGG AND TECHNOLOGY,MECHANICAL ENGINEERING,OC,BOYS,156840,68000,JNTUH
BHASKAR ENGINEERING COLLEGE,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,OC,BOYS,130478,50000,JNTUH
BHASKAR ENGINEERING COLLEGE,COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,66314,50000,JNTUH
BHASKAR ENGINEERING COLLEGE,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,103083,50000,JNTUH
BHASKAR ENGINEERING COLLEGE,ELECTRONICS AND COMMUNICATION  ENGINEERING,OC,BOYS,68622,50000,JNTUH
BHASKAR ENGINEERING COLLEGE,INFORMATION  TECHNOLOGY,OC,BOYS,78733,50000,JNTUH
